title,text,label
Restoration Hardware's CEO cursed on an earnings call after he realized the stock was tanking,"Restoration Hardware's CEO cursed on an earnings call after realizing the company's stock nosedived on Wednesday.Jeff Schear/Getty Image
<ul><li>Restoration Hardware's stock plunged 26% after a majo… [+2940 chars]",1
Bank of America: US-Made iPhones Would Face 90% Cost Surge,"Moving iPhone production from China to the United States could increase manufacturing costs by up to 90%, analysts at Bank of America warned on Wednesday (via Bloomberg).
According to BofA analysts … [+2754 chars]",1
"Apple Seeds iOS 18.4 and iPadOS 18.4 Release Candidate With Priority Notifications, Ambient Music and More","Apple today seeded the release candidate versions of upcoming iOS 18.4 and iPadOS 18.4 updates to developers for testing purposes, with the software coming a week after Apple released the fourth beta… [+1407 chars]",1
Higher prices are likely for these 10 grocery items when tariffs hit,"A trip to the grocery or liquor store is about to become even more expensive, economists say, following the latest round of import tariffs announced by President Trump on Wednesday. Those tariffs tax… [+5403 chars]",1
India's Modi praises close Sri Lanka ties at holy tree,"India's Prime Minister Narendra Modi paid homage to Sri Lanka's sacred Buddhist tree on Sunday before wrapping up a state visit during which he secured defence and energy deals.
Modi offered flowers… [+1587 chars]",1
I took a 3-year career break. I felt guilty about being called 'just a housewife' — but now I'm embracing the detour.,"Mangawa said she felt like she was worthless if she wasn't working.Courtesy of Shruti Mangawa
<ul><li>When Shruti Mangawa tried applying for jobs after taking a career break, she was often ghosted.<… [+5144 chars]",1
"Kevin O'Leary says he doesn't think the Trump administration is 'stupid,' expects tariffs to be removed","""I believe in economics driving everything at the end of the day, and I don't think the Trump administration is stupid,"" Kevin O'Leary said on Monday.Roy Rochlin via Getty Images
<ul><li>Kevin O'Lea… [+3615 chars]",1
Made in India iPhones to double this year in continued diversification push,"The number of Made in India iPhones is expected to more than double this year, as Apple seeks to further reduce its dependence on China, says a local report.
Key iPhone assembler Foxconn is said to … [+1845 chars]",1
Apple Stock Sell-Off Continues After China Unveils Matching Tariffs,"Apple stock dropped 4% in early Friday trading, broadly following yesterday's trend after China announced reciprocal tariffs in response to U.S. President Trump's trade policies. 
The latest decline… [+1599 chars]",1
"Millions of People Celebrate Holi, the Hindu Festival of Colors","NEW DELHI Millions of people in South Asia celebrated Holi, the Hindu festival of colors, on Friday by smearing each other with brightly colored powder, dancing to festive music and feasting on tradi… [+2558 chars]",1
Indian chemical company employees indicted for Importing of Fentanyl Precursors,"An India-based chemical manufacturing company and three high-level employees were charged in federal court in Washington, D.C., today related to illegally importing precursor chemicals used to make i… [+3487 chars]",1
"3 Years on, This RRR Action Scene Remains as Thrilling as Ever","It’s been three years since the release of S.S. Rajamouli’sRRR, the Telugu-language epic historical fantasy starring Jr. NTR and Ram Charan that swept the globe. Based on an idea from Rajamouli’s fat… [+3973 chars]",1
"You have 87 days. From clothes to electronics and appliances, here’s what you should stock up on before Trump’s tariffs pause ends in July","President Trump announced reciprocal tariffs for over 180 countries on April 2, an announcement he called ""Liberation Day."" Just one week (and plenty of market mayhem) later, on April 9, Trump hit th… [+2475 chars]",1
"Exclusive-After Trump, EU seeks zero tariff from India on car imports, sources say","By Aditi Shah and Shivangi Acharya
NEW DELHI (Reuters) - The European Union wants India to eliminate tariffs on car imports under a long-pending trade deal and Prime Minister Narendra Modi's governm… [+3579 chars]",1
Apple is racing to fly planes of iPhones into the US ahead of Trump’s tariffs,"With the full breadth of Trumps tariffs slated to kick in on Wednesday, Apple is stockpiling iPhone inventory in the United States as quickly as possible. A new report from The Times of India today s… [+2107 chars]",1
"India denies entry to ship carrying Russian oil over documentation, sources say","By Nidhi Verma
NEW DELHI (Reuters) -Indian port authorities denied entry to an ageing tanker loaded with Russian crude on Thursday due to inadequate documentation, sources familiar with the matter s… [+2458 chars]",1
Foxconn plans to double iPhone production in India by the end of 2025,"A new report says that Foxconn will produce double its previous annual total of iPhones in India during 2025, as Apple continues to expand in the country.
Apple has previously been reported to be ai… [+2103 chars]",1
Google Messages just made ditching spam texts a breeze,"What you need to know
<ul><li>Google Messages now has an “Unsubscribe” button to easily stop those annoying automated texts.</li><li>A new prompt appears at the end of spammy messages, letting you u… [+2359 chars]",1
Tesla loses ground as Chinese EVs dominate global markets,"Tesla is having a tough year.
Once a world leader in the electric-vehicle market, the companys sales across the U.S., China, and several European countries fell year on year in February, and its sto… [+7030 chars]",1
Apple could import more iPhones from India due to Trump's tariffs,"After a rush-job getting tons of iPhones to the US from India just before a trade deadline, Apple may be considering getting more of its US supply from the country to pay less in tariffs than it woul… [+4342 chars]",1
"Myanmar's earthquake death toll jumps to more than 1,000 as more bodies are recovered","BANGKOK The death toll from a powerful 7.7 magnitude earthquake in Myanmar jumped to more than 1,000 on Saturday as more bodies were pulled from the rubble of the scores of buildings that collapsed w… [+5729 chars]",1
Lamborghini CEO wants women to feel the need for speed,"Lamborghini CEO Stephan Winkelmann on stage at the Dubai launch of the Lamborghini Temerario supercar.Lamborghini
<ul><li>Lamborghini reported record-high sales of 10,687 cars and $3.4 billion in re… [+4010 chars]",1
I took a yearlong sabbatical when I turned 50. It taught me to prioritize living over making a living.,"Chana Widawski took a yearlong sabbatical to celebrate her 50th birthday.Somya Rakshit
<ul><li>Chana Widawski handed in her notice after feeling burned out at work.</li><li>She celebrated her 50th b… [+3916 chars]",1
"Google shook up its Cloud sales strategy unit, internal memo reveals","Google Cloud CEO Thomas Kurian.Shutterstock
<ul><li>Google Cloud restructured its strategy team to ""respond faster"" to the market.</li><li>One of the biggest changes has been made to boost sales pro… [+2636 chars]",1
Tired? Apple's got a new emoji for that,"IPhone users awoke to new emojis if they had automatic updates turned on.Xinhua News Agency/Xinhua News Agency via Getty Images
<ul><li>Apple released new emojis in an iOS update, expanding the digi… [+2155 chars]",1
Commerce Secretary Howard Lutnick says the EU deserves tariffs for not buying America's 'beautiful beef',"""They hate our beef because our beef is beautiful and theirs is weak,"" Commerce Secretary Howard Lutnick said of the European Union.Andrew Harnik via Getty Images
<ul><li>President Donald Trump impo… [+2440 chars]",1
Another plane U-turned over the Atlantic after half its bathrooms stopped working,"A Swiss Airbus A330 made a U-turn over the English Channel, a branch of the Atlantic Ocean.FABRICE COFFRINI/AFP via Getty Images
<ul><li>A flight from Zurich to Washington, DC, returned home after h… [+2182 chars]",1
Trump Believes Apple Could Manufacture iPhones in the U.S.,"U.S. President Donald Trump ""absolutely"" believes that Apple could manufacture its iPhones and other devices in the United States, Press Secretary Karoline Leavitt said today during a media briefing.… [+4409 chars]",1
Motorola Edge 60 Fusion Launches in India with AI-Powered Features,"Motorola is reviving its edgeliterally and figurativelywith the Motorola Edge 60 Fusion, launching in India on April 2. On paper, this looks like more than just another spec-boosted mid-ranger. Its M… [+1539 chars]",1
Why are India's private firms not investing despite record profits?,"Nikhil Inamdar
Private sector expenditure in overall investments in India's economy dipped to a decadal low 
What will it take for India's private companies to begin investing in building new facto… [+5733 chars]",1
"I'm trying to raise my kids to be independent, but my husband still wants to baby them. It's causing issues in our marriage.","The author's husband (not pictured) is trying to baby their kids.Mayur Kakade/Getty Images
<ul><li>My husband and I have different backgrounds and upbringings, which affect our parenting.</li><li>I'… [+3716 chars]",1
"Forest Whitaker, 63, says he's only taken about 10 vacations in his life","Forest Whitaker might be a bit of a workaholic.Dia Dipasupil/Getty Images
<ul><li>Forest Whitaker says he has taken only about 10 vacations in his lifetime.</li><li>That includes several road trips … [+1989 chars]",1
How's Apple going to get out of its China jam?,"Apple CEO Tim Cook has spent years enmeshing his company in China. Now that could pose a real problem.Kevin Lamarque/Getty Images
<ul><li>Apple CEO Tim Cook has navigated Trump's China tariffs befor… [+4750 chars]",1
AI chips not ice creams - minister's dig at Indian start-ups sparks debate,"Cherylann Mollan
India's commerce minister said Indian start-ups should focus more on the high-tech sector
India's Commerce Minister Piyush Goyal's recent comments about the country's start-up ecos… [+6156 chars]",1
Trump’s trade war has taken a $700 billion bite out of Apple as people wake up to the reality of how expensive an iPhone will be under the new tariffs,"<ul><li>Apples market cap has plummeted by $700 billion as its stock takes a beating in the aftermath of Trumps liberation day tariffs. The company is uniquely exposed to Trumps tariffs on China, as … [+3294 chars]",1
Apple's fight with Trump's tariffs will shift the cost to customers,"Ming-Chi Kuo's Apple commentary is normally fairly insightful, but his latest batch on how Apple can shoulder President Trump's tariff burden is short-sighted, and doesn't make a great deal of sense.… [+3546 chars]",1
Apple's high storage prices may be key to mitigating iPhone 17 Pro price rises,"Investment firm Morgan Stanley theorizes that Apple has long-term options to protect its iPhone 17 Pro prices from tariff hikes, including steering buyers to larger storage capacities, which have a g… [+4347 chars]",1
Samsung's sixth One UI 7 beta for the Galaxy S24 rolls out as launch nears,"What you need to know
<ul><li>Samsung is reportedly rolling out One UI 7 Beta 6 to its enrolled Galaxy S24 users.</li><li>The update is similar to what arrived for its foldables a the changelog high… [+3243 chars]",1
Samsung finally speaks out about One UI 8 as rumors of internal testing mount,"What you need to know
<ul><li>Samsung speaks up about the recent string of One UI 8 rumors surface, stating its most likely just ""internal test"" builds with the company's devices.</li><li>The One UI… [+3139 chars]",1
Google Pixel 9a finally gets a launch date after 'component quality issue',"What you need to know
<ul><li>Google announced the launch date for its budget Pixel 9a stating that it will be available on-shelf starting April 10.</li><li>Google stalled the 9a in-store launch and… [+2776 chars]",1
"Apple Releases iOS 18.4 With Priority Notifications, Ambient Music, New Emoji and More",The new software can be downloaded on eligible iPhones and iPads over-the-air by going to Settings &gt; General &gt; Software Update.iOS 18.4 adds Priority notifications for Apple Intelligence-capabl… [+3723 chars],1
"India ditches its 'Google Tax', perhaps to tickle Trump and dodge tariffs","India again ditches a tech tax, perhaps to tickle Trump and dodge tariffs Already binned an e-commerce tax last year The lower house of Indias parliament on Tuesday passed the nations budget for 2025… [+3004 chars]",1
India investigates whether Uber makes iPhone users pay more to ride,"Indias government has ordered an investigation into whether Uber and local ride-share champion charge Ola customers more if they use iPhones.
Consumer complaints about the practice of differential p… [+1582 chars]",1
Demand for iPhones increases in US Apple Stores as customers fear price hikes,"There’s a lot going on in the world right now as President Trump last week announced tariffs on imports from other countries. Fearing a potential price increase, many customers are flocking to Apple … [+1890 chars]",1
"U.S. government cannot deport Georgetown scholar until court rules, judge orders","ALEXANDRIA, Va. A federal judge on Thursday ordered immigration officials not to deport a Georgetown scholar who was detained by the Trump Administration and accused of spreading Hamas propaganda in … [+6522 chars]",1
Google Maps doubles down on preventing fake reviews,"What you need to know
<ul><li>Google is going after businesses that try to cheat the system with fake five-star reviews.</li><li>In its recent report, Google said it has trained Gemini to detect bus… [+2838 chars]",1
"Coinbase and others eye India comeback as regulators tease pivot; Electric Capital: India had 12% of crypto devs in 2024, only behind the US, up from 4% in 2018 (Sidhartha Shukla/Bloomberg)","About This Page
This is a Techmeme archive page.
It shows how the site appeared at 12:40 AM ET, March 22, 2025.
The most current version of the site as always is available at our home page.
To vi… [+146 chars]",1
Monkeys use crafty techniques to get junk food from tourists,"Hanuman langurs have adapted their behaviour to thrive around human environments
Ondrej Prosicky / Alamy
A group of monkeys in India has developed a range of ingenious techniques to acquire food pe… [+441 chars]",1
Officials: Apple sent five planes full of iPhones and other products from India to the US in just three days in the last week of March to avoid the 10% tariff (Times of India),"About This Page
This is a Techmeme archive page.
It shows how the site appeared at 11:30 AM ET, April 7, 2025.
The most current version of the site as always is available at our home page.
To vie… [+68 chars]",1
The hunt for the birthplace of Indo-European languages,"Afyonkarahisar, the capital of the central Anatolia region of Turkey
Daphnusia images/Shutterstock
This is an extract from Our Human Story, our newsletter about the revolution in archaeology. Sign … [+369 chars]",1
It’s a good day for Samsung Galaxy S23 owners as One UI 7 beta rolls out,"Samsung announced it would be opening up the One UI 7.0 Beta Program for its Galaxy S23 series a couple of weeks ago and in what is great news for the Galaxy S23 owners among you, that day has now ar… [+2112 chars]",1
There’s a new glow in dark phone but good luck buying it,"Realme has announced a couple of new smartphones to its portfolio in the P3 Ultra 5G and the P3 5G, with the former being the company’s first “Ultra” device and the world’s first smartphone to featur… [+1755 chars]",1
"The world's most powerful passports in 2025, ranked","Singapore passport holders have the most flexibility for travel worldwide.Majonit/Shutterstock
<ul><li>The Henley Passport Index ranks the most powerful passports in the world for visa-free travel.<… [+3454 chars]",1
"Apple, Intel, and others head to Vietnam to discuss tariff concerns","With President Trump imposing strict tariffs on goods coming from US trade partners, Apple is joining other top tech companies in a trip to Vietnam to discuss what comes next.
For Trump's second ter… [+2271 chars]",1
China's warning to Walmart on tariffs shows Beijing is worried about local businesses,"On Tuesday, Chinese authorities summoned Walmart for a meeting.Cheng Xin/Getty Images
<ul><li>China has warned Walmart against squeezing suppliers to offset US tariffs.</li><li>US tariffs on Chinese… [+3933 chars]",1
Meta loses two execs overseeing the company's largest markets and key advertising verticals,"Two executives who oversee key advertising verticals and the Asia-Pacific region, the company's largest market, both left this week.Chesnot/Getty Images
<ul><li>Two senior Meta executives, Dan Neary… [+3203 chars]",1
